Date,Open,High,Low,Close,Volume
2017-03-30,492.0,498.0,484.0,493.0,25000.0
2017-03-29,493.0,493.0,485.0,492.0,23000.0
2017-03-28,490.0,499.0,490.0,494.0,57000.0
2017-03-27,484.0,495.0,479.0,486.0,54000.0
2017-03-24,497.0,510.0,485.0,489.0,107000.0
2017-03-23,490.0,495.0,486.0,495.0,21000.0
2017-03-22,492.0,495.0,486.0,494.0,37000.0
2017-03-21,489.0,496.0,489.0,494.0,34000.0
2017-03-17,492.0,496.0,492.0,496.0,68000.0
2017-03-16,489.0,494.0,487.0,492.0,52000.0
2017-03-15,492.0,492.0,488.0,489.0,19000.0
2017-03-14,484.0,492.0,476.0,492.0,43000.0
2017-03-13,480.0,483.0,480.0,481.0,23000.0
2017-03-10,476.0,478.0,473.0,476.0,75000.0
2017-03-09,473.0,474.0,471.0,473.0,35000.0
2017-03-08,475.0,475.0,471.0,473.0,28000.0
2017-03-07,477.0,480.0,476.0,477.0,39000.0
2017-03-06,476.0,478.0,472.0,477.0,20000.0
2017-03-03,470.0,479.0,470.0,477.0,38000.0
2017-03-02,462.0,480.0,462.0,477.0,33000.0
2017-03-01,459.0,461.0,449.0,456.0,26000.0
2017-02-28,465.0,471.0,458.0,462.0,33000.0
2017-02-27,474.0,474.0,464.0,465.0,25000.0
2017-02-24,467.0,479.0,466.0,478.0,40000.0
2017-02-23,461.0,467.0,461.0,465.0,12000.0
2017-02-22,466.0,470.0,462.0,464.0,27000.0
2017-02-21,461.0,471.0,460.0,464.0,31000.0
2017-02-20,455.0,461.0,455.0,461.0,50000.0
2017-02-17,454.0,460.0,452.0,455.0,57000.0
2017-02-16,442.0,454.0,442.0,451.0,26000.0
2017-02-15,439.0,449.0,439.0,444.0,55000.0
2017-02-14,447.0,455.0,435.0,436.0,59000.0
2017-02-13,441.0,458.0,441.0,444.0,85000.0
2017-02-10,426.0,441.0,425.0,441.0,36000.0
2017-02-09,432.0,435.0,421.0,421.0,31000.0
2017-02-08,428.0,434.0,423.0,434.0,17000.0
2017-02-07,437.0,437.0,425.0,425.0,44000.0
2017-02-06,436.0,437.0,436.0,437.0,15000.0
2017-02-03,442.0,442.0,422.0,436.0,36000.0
2017-02-02,445.0,445.0,438.0,442.0,30000.0
2017-02-01,431.0,444.0,430.0,443.0,27000.0
2017-01-31,437.0,438.0,433.0,433.0,13000.0
2017-01-30,444.0,445.0,437.0,442.0,60000.0
2017-01-27,439.0,448.0,437.0,444.0,33000.0
2017-01-26,442.0,444.0,437.0,437.0,43000.0
2017-01-25,447.0,447.0,437.0,439.0,30000.0
2017-01-24,445.0,445.0,444.0,445.0,29000.0
2017-01-23,443.0,446.0,443.0,444.0,17000.0
2017-01-20,433.0,443.0,433.0,443.0,50000.0
2017-01-19,430.0,433.0,425.0,433.0,32000.0
2017-01-18,418.0,425.0,415.0,424.0,17000.0
2017-01-17,428.0,432.0,425.0,426.0,27000.0
2017-01-16,433.0,433.0,425.0,430.0,19000.0
2017-01-13,434.0,434.0,428.0,433.0,23000.0
2017-01-12,437.0,437.0,430.0,431.0,26000.0
2017-01-11,438.0,438.0,433.0,436.0,17000.0
2017-01-10,439.0,439.0,433.0,438.0,30000.0
2017-01-06,433.0,440.0,433.0,439.0,46000.0
2017-01-05,435.0,435.0,428.0,433.0,38000.0
2017-01-04,426.0,436.0,425.0,435.0,35000.0
2016-12-30,427.0,428.0,421.0,427.0,32000.0
2016-12-29,415.0,424.0,415.0,424.0,43000.0
2016-12-28,418.0,423.0,417.0,422.0,28000.0
2016-12-27,423.0,423.0,415.0,420.0,32000.0
2016-12-26,424.0,424.0,420.0,420.0,25000.0
2016-12-22,418.0,424.0,409.0,424.0,36000.0
2016-12-21,419.0,420.0,418.0,419.0,19000.0
2016-12-20,426.0,427.0,418.0,420.0,104000.0
2016-12-19,427.0,427.0,421.0,426.0,31000.0
2016-12-16,427.0,429.0,423.0,427.0,58000.0
2016-12-15,425.0,426.0,423.0,426.0,35000.0
2016-12-14,416.0,424.0,416.0,423.0,20000.0
2016-12-13,416.0,423.0,412.0,420.0,68000.0
2016-12-12,420.0,422.0,414.0,416.0,79000.0
2016-12-09,417.0,420.0,417.0,420.0,56000.0
2016-12-08,416.0,419.0,415.0,417.0,39000.0
2016-12-07,408.0,413.0,408.0,413.0,64000.0
2016-12-06,408.0,409.0,406.0,408.0,60000.0
2016-12-05,403.0,407.0,403.0,406.0,30000.0
2016-12-02,402.0,408.0,400.0,408.0,29000.0
2016-12-01,400.0,432.0,400.0,405.0,101000.0
2016-11-30,398.0,400.0,397.0,399.0,16000.0
2016-11-29,396.0,399.0,395.0,397.0,29000.0
2016-11-28,391.0,402.0,391.0,402.0,33000.0
2016-11-25,392.0,398.0,392.0,396.0,27000.0
2016-11-24,399.0,399.0,394.0,394.0,22000.0
2016-11-22,393.0,396.0,392.0,395.0,24000.0
2016-11-21,392.0,394.0,391.0,393.0,24000.0
2016-11-18,391.0,394.0,387.0,392.0,67000.0
2016-11-17,384.0,392.0,384.0,391.0,34000.0
2016-11-16,393.0,393.0,389.0,392.0,29000.0
2016-11-15,390.0,391.0,382.0,389.0,60000.0
2016-11-14,392.0,393.0,384.0,391.0,31000.0
2016-11-11,380.0,389.0,380.0,389.0,32000.0
2016-11-10,393.0,393.0,361.0,380.0,87000.0
2016-11-09,393.0,393.0,384.0,386.0,45000.0
2016-11-08,387.0,393.0,387.0,393.0,21000.0
2016-11-07,392.0,392.0,386.0,387.0,36000.0
2016-11-04,380.0,386.0,380.0,386.0,20000.0
2016-11-02,381.0,390.0,379.0,388.0,20000.0
2016-11-01,386.0,391.0,385.0,388.0,30000.0
2016-10-31,390.0,393.0,387.0,391.0,36000.0
2016-10-28,379.0,391.0,379.0,391.0,83000.0
2016-10-27,371.0,379.0,371.0,379.0,35000.0
2016-10-26,374.0,376.0,367.0,376.0,84000.0
2016-10-25,375.0,381.0,373.0,381.0,40000.0
2016-10-24,386.0,386.0,372.0,378.0,29000.0
2016-10-21,388.0,391.0,386.0,387.0,23000.0
2016-10-20,385.0,389.0,385.0,388.0,27000.0
2016-10-19,379.0,385.0,379.0,385.0,24000.0
2016-10-18,377.0,380.0,377.0,380.0,7000.0
2016-10-17,377.0,381.0,377.0,379.0,11000.0
2016-10-14,376.0,377.0,376.0,377.0,3000.0
2016-10-13,380.0,383.0,378.0,378.0,12000.0
2016-10-12,379.0,381.0,375.0,380.0,36000.0
2016-10-11,378.0,379.0,377.0,379.0,12000.0
2016-10-07,382.0,383.0,372.0,383.0,20000.0
2016-10-06,380.0,383.0,376.0,382.0,30000.0
2016-10-05,379.0,380.0,374.0,375.0,38000.0
2016-10-04,376.0,379.0,374.0,379.0,30000.0
2016-10-03,373.0,377.0,372.0,376.0,23000.0
