Date,Open,High,Low,Close,Volume
2017-03-30,,,,,0.0
2017-03-29,263.0,264.0,263.0,264.0,7000.0
2017-03-28,,,,,0.0
2017-03-27,264.0,264.0,261.0,261.0,10000.0
2017-03-24,263.0,263.0,261.0,261.0,4000.0
2017-03-23,263.0,263.0,263.0,263.0,1000.0
2017-03-22,263.0,263.0,262.0,263.0,3000.0
2017-03-21,261.0,263.0,261.0,263.0,12000.0
2017-03-17,,,,,0.0
2017-03-16,260.0,260.0,258.0,259.0,4000.0
2017-03-15,261.0,261.0,258.0,259.0,5000.0
2017-03-14,,,,,0.0
2017-03-13,263.0,263.0,262.0,262.0,2000.0
2017-03-10,263.0,263.0,263.0,263.0,6000.0
2017-03-09,263.0,263.0,262.0,263.0,5000.0
2017-03-08,263.0,263.0,263.0,263.0,4000.0
2017-03-07,263.0,263.0,263.0,263.0,2000.0
2017-03-06,263.0,263.0,263.0,263.0,9000.0
2017-03-03,263.0,263.0,263.0,263.0,1000.0
2017-03-02,261.0,263.0,260.0,263.0,11000.0
2017-03-01,261.0,262.0,261.0,262.0,6000.0
2017-02-28,262.0,262.0,262.0,262.0,6000.0
2017-02-27,262.0,263.0,261.0,262.0,16000.0
2017-02-24,264.0,264.0,259.0,262.0,21000.0
2017-02-23,260.0,260.0,260.0,260.0,2000.0
2017-02-22,259.0,260.0,259.0,260.0,3000.0
2017-02-21,259.0,259.0,259.0,259.0,3000.0
2017-02-20,257.0,259.0,257.0,259.0,5000.0
2017-02-17,259.0,259.0,256.0,257.0,9000.0
2017-02-16,260.0,260.0,259.0,259.0,4000.0
2017-02-15,259.0,261.0,259.0,261.0,24000.0
2017-02-14,259.0,259.0,258.0,259.0,8000.0
2017-02-13,258.0,259.0,258.0,259.0,4000.0
2017-02-10,258.0,258.0,258.0,258.0,11000.0
2017-02-09,258.0,258.0,257.0,258.0,7000.0
2017-02-08,255.0,258.0,255.0,258.0,3000.0
2017-02-07,256.0,257.0,256.0,257.0,2000.0
2017-02-06,255.0,257.0,253.0,257.0,5000.0
2017-02-03,,,,,0.0
2017-02-02,254.0,255.0,254.0,255.0,4000.0
2017-02-01,252.0,254.0,252.0,254.0,2000.0
2017-01-31,254.0,254.0,254.0,254.0,3000.0
2017-01-30,,,,,0.0
2017-01-27,,,,,0.0
2017-01-26,252.0,252.0,252.0,252.0,2000.0
2017-01-25,252.0,252.0,247.0,251.0,5000.0
2017-01-24,,,,,0.0
2017-01-23,250.0,250.0,246.0,249.0,4000.0
2017-01-20,,,,,0.0
2017-01-19,249.0,250.0,246.0,250.0,6000.0
2017-01-18,249.0,249.0,249.0,249.0,1000.0
2017-01-17,246.0,246.0,246.0,246.0,1000.0
2017-01-16,250.0,250.0,250.0,250.0,1000.0
2017-01-13,246.0,250.0,246.0,249.0,8000.0
2017-01-12,248.0,248.0,247.0,247.0,7000.0
2017-01-11,248.0,248.0,248.0,248.0,7000.0
2017-01-10,248.0,250.0,247.0,248.0,21000.0
2017-01-06,249.0,249.0,246.0,248.0,11000.0
2017-01-05,247.0,247.0,246.0,247.0,9000.0
2017-01-04,250.0,251.0,235.0,247.0,66000.0
2016-12-30,248.0,248.0,243.0,248.0,15000.0
2016-12-29,251.0,251.0,242.0,248.0,27000.0
2016-12-28,255.0,255.0,247.0,251.0,13000.0
2016-12-27,260.0,262.0,259.0,262.0,12000.0
2016-12-26,260.0,261.0,257.0,259.0,11000.0
2016-12-22,256.0,258.0,255.0,258.0,12000.0
2016-12-21,257.0,259.0,256.0,258.0,24000.0
2016-12-20,259.0,260.0,257.0,259.0,10000.0
2016-12-19,258.0,259.0,257.0,259.0,11000.0
2016-12-16,260.0,260.0,260.0,260.0,2000.0
2016-12-15,261.0,261.0,258.0,258.0,7000.0
2016-12-14,260.0,260.0,258.0,258.0,7000.0
2016-12-13,259.0,259.0,257.0,259.0,4000.0
2016-12-12,259.0,259.0,259.0,259.0,11000.0
2016-12-09,252.0,258.0,252.0,258.0,15000.0
2016-12-08,255.0,256.0,254.0,256.0,9000.0
2016-12-07,255.0,255.0,254.0,255.0,9000.0
2016-12-06,255.0,255.0,251.0,251.0,2000.0
2016-12-05,249.0,251.0,246.0,251.0,11000.0
2016-12-02,246.0,246.0,246.0,246.0,2000.0
2016-12-01,249.0,252.0,249.0,250.0,13000.0
2016-11-30,247.0,248.0,247.0,248.0,7000.0
2016-11-29,246.0,246.0,246.0,246.0,3000.0
2016-11-28,248.0,248.0,246.0,246.0,5000.0
2016-11-25,248.0,248.0,248.0,248.0,2000.0
2016-11-24,247.0,248.0,247.0,248.0,4000.0
2016-11-22,,,,,0.0
2016-11-21,245.0,249.0,245.0,248.0,21000.0
2016-11-18,244.0,244.0,244.0,244.0,1000.0
2016-11-17,243.0,244.0,243.0,244.0,3000.0
2016-11-16,,,,,0.0
2016-11-15,,,,,0.0
2016-11-14,242.0,242.0,242.0,242.0,2000.0
2016-11-11,242.0,242.0,242.0,242.0,2000.0
2016-11-10,241.0,242.0,241.0,242.0,6000.0
2016-11-09,236.0,236.0,234.0,234.0,2000.0
2016-11-08,236.0,240.0,236.0,240.0,4000.0
2016-11-07,,,,,0.0
2016-11-04,229.0,229.0,229.0,229.0,10000.0
2016-11-02,236.0,236.0,235.0,235.0,3000.0
2016-11-01,238.0,238.0,237.0,237.0,3000.0
2016-10-31,,,,,0.0
2016-10-28,,,,,0.0
2016-10-27,,,,,0.0
2016-10-26,240.0,240.0,240.0,240.0,1000.0
2016-10-25,244.0,244.0,244.0,244.0,3000.0
2016-10-24,,,,,0.0
2016-10-21,,,,,0.0
2016-10-20,237.0,246.0,237.0,244.0,13000.0
2016-10-19,,,,,0.0
2016-10-18,,,,,0.0
2016-10-17,,,,,0.0
2016-10-14,236.0,236.0,236.0,236.0,1000.0
2016-10-13,234.0,234.0,234.0,234.0,1000.0
2016-10-12,235.0,235.0,235.0,235.0,1000.0
2016-10-11,234.0,236.0,234.0,234.0,10000.0
2016-10-07,234.0,234.0,234.0,234.0,1000.0
