Date,Open,High,Low,Close,Volume
2017-03-30,37.0,37.0,36.0,36.0,107000.0
2017-03-29,37.0,37.0,36.0,37.0,96000.0
2017-03-28,37.0,37.0,36.0,37.0,191000.0
2017-03-27,37.0,37.0,36.0,37.0,268000.0
2017-03-24,37.0,38.0,37.0,38.0,201000.0
2017-03-23,37.0,38.0,36.0,37.0,358000.0
2017-03-22,37.0,37.0,36.0,37.0,364000.0
2017-03-21,37.0,38.0,37.0,37.0,145000.0
2017-03-17,37.0,38.0,37.0,37.0,282000.0
2017-03-16,37.0,38.0,37.0,38.0,181000.0
2017-03-15,37.0,38.0,37.0,37.0,123000.0
2017-03-14,38.0,38.0,37.0,37.0,331000.0
2017-03-13,38.0,39.0,38.0,38.0,579000.0
2017-03-10,38.0,39.0,38.0,39.0,174000.0
2017-03-09,39.0,39.0,38.0,39.0,74000.0
2017-03-08,39.0,39.0,38.0,39.0,254000.0
2017-03-07,39.0,40.0,39.0,39.0,126000.0
2017-03-06,39.0,40.0,38.0,39.0,563000.0
2017-03-03,39.0,39.0,38.0,39.0,156000.0
2017-03-02,39.0,39.0,38.0,39.0,401000.0
2017-03-01,38.0,40.0,37.0,39.0,1444000.0
2017-02-28,37.0,38.0,37.0,37.0,128000.0
2017-02-27,36.0,38.0,36.0,37.0,342000.0
2017-02-24,36.0,37.0,36.0,37.0,191000.0
2017-02-23,36.0,37.0,36.0,36.0,52000.0
2017-02-22,36.0,37.0,36.0,36.0,567000.0
2017-02-21,37.0,37.0,36.0,37.0,139000.0
2017-02-20,36.0,37.0,36.0,37.0,133000.0
2017-02-17,37.0,37.0,36.0,36.0,104000.0
2017-02-16,37.0,38.0,36.0,36.0,381000.0
2017-02-15,36.0,37.0,36.0,37.0,666000.0
2017-02-14,35.0,36.0,35.0,36.0,341000.0
2017-02-13,37.0,37.0,35.0,35.0,1524000.0
2017-02-10,38.0,38.0,37.0,37.0,127000.0
2017-02-09,37.0,38.0,37.0,38.0,85000.0
2017-02-08,37.0,38.0,37.0,37.0,185000.0
2017-02-07,38.0,38.0,37.0,37.0,191000.0
2017-02-06,37.0,38.0,37.0,37.0,207000.0
2017-02-03,37.0,38.0,37.0,38.0,318000.0
2017-02-02,37.0,38.0,37.0,37.0,451000.0
