Date,Open,High,Low,Close,Volume
2017-03-30,866.6,884.8,864.2,874.2,7001600.0
2017-03-29,867.6,869.7,860.5,863.6,6431000.0
2017-03-28,857.2,868.2,856.0,868.0,6256400.0
2017-03-27,844.0,851.2,843.6,848.5,3950700.0
2017-03-24,855.3,869.4,850.5,858.3,8061100.0
2017-03-23,839.8,843.4,833.2,840.3,5488300.0
2017-03-22,861.9,862.0,838.8,839.8,8490600.0
2017-03-21,867.6,885.0,864.0,882.7,9741000.0
2017-03-17,863.1,876.3,863.0,867.5,9280400.0
2017-03-16,860.0,879.3,856.9,876.0,10736600.0
2017-03-15,885.0,894.6,868.0,869.5,19934500.0
2017-03-14,900.0,902.0,896.1,899.0,4835700.0
2017-03-13,896.6,901.4,892.7,896.6,4719100.0
2017-03-10,900.0,901.0,892.1,897.0,7416100.0
2017-03-09,890.0,895.5,884.6,890.5,6298100.0
2017-03-08,885.0,887.5,872.3,877.8,7513700.0
2017-03-07,890.2,897.2,885.1,887.0,7983100.0
2017-03-06,868.6,877.6,863.6,876.9,4038100.0
2017-03-03,875.0,875.9,866.2,871.6,5354800.0
2017-03-02,900.0,901.2,881.3,883.8,6340500.0
2017-03-01,868.7,880.9,865.1,878.1,5865000.0
2017-02-28,870.8,878.3,862.7,862.7,6455900.0
2017-02-27,864.7,871.4,853.4,864.0,6285700.0
2017-02-24,880.4,889.6,874.6,876.7,5902400.0
2017-02-23,899.5,907.4,883.2,889.3,9079000.0
2017-02-22,875.0,881.6,871.5,879.0,5556200.0
2017-02-21,864.0,878.6,863.3,873.4,5875600.0
2017-02-20,856.0,861.3,853.1,859.3,6441000.0
2017-02-17,853.2,870.0,846.2,855.8,8570500.0
2017-02-16,844.3,846.4,830.5,839.8,4573700.0
2017-02-15,828.0,845.6,827.0,839.7,5125600.0
2017-02-14,830.4,838.0,820.5,822.3,4251300.0
2017-02-13,831.1,838.3,826.3,828.5,5017800.0
2017-02-10,819.1,830.6,815.2,826.1,7649300.0
2017-02-09,814.0,814.0,801.7,804.5,6964100.0
2017-02-08,775.4,819.0,773.5,814.5,14117500.0
2017-02-07,767.1,779.0,761.6,774.9,5574600.0
2017-02-06,780.9,783.5,762.6,764.4,4467500.0
2017-02-03,792.5,797.7,773.3,774.2,5681000.0
2017-02-02,805.7,815.0,792.6,794.5,5471200.0
2017-02-01,782.0,799.9,777.4,798.8,5127500.0
2017-01-31,787.8,798.8,787.7,789.7,5463900.0
2017-01-30,798.0,798.9,789.4,798.2,3481000.0
2017-01-27,810.0,810.9,798.7,801.8,5320700.0
2017-01-26,786.6,805.4,786.6,803.4,8436400.0
2017-01-25,770.6,776.5,769.8,775.7,4195900.0
2017-01-24,757.5,764.4,753.8,755.6,3914200.0
2017-01-23,766.7,767.9,757.0,760.8,4066300.0
2017-01-20,770.6,779.0,768.7,771.1,4196400.0
2017-01-19,776.0,779.3,769.7,773.3,2654400.0
2017-01-18,757.3,767.6,750.7,765.4,4819600.0
2017-01-17,780.0,781.8,764.2,765.1,4347700.0
2017-01-16,787.6,791.7,778.7,783.3,2774800.0
2017-01-13,788.6,798.4,782.8,791.6,5703900.0
2017-01-12,790.0,791.8,778.3,785.6,5617800.0
2017-01-11,778.0,788.4,774.7,786.0,4558100.0
2017-01-10,778.0,784.4,772.5,778.2,4865500.0
2017-01-06,780.0,783.7,772.2,781.5,5463200.0
2017-01-05,797.1,798.0,780.1,785.4,4681400.0
2017-01-04,758.8,784.8,758.2,783.6,5711700.0
2016-12-30,755.7,760.2,748.4,758.0,4289500.0
2016-12-29,770.0,774.0,758.7,762.8,4737100.0
2016-12-28,774.3,779.7,771.5,776.8,2799400.0
2016-12-27,770.0,781.5,768.1,774.3,4087200.0
2016-12-26,772.8,779.3,771.9,774.8,2915400.0
2016-12-22,784.5,784.5,774.0,780.6,5317100.0
2016-12-21,797.5,797.5,775.5,780.1,5900100.0
2016-12-20,788.6,797.7,787.0,797.4,6698100.0
2016-12-19,785.0,795.9,784.3,791.1,4989500.0
2016-12-16,788.0,791.2,780.2,784.5,6071500.0
2016-12-15,783.9,789.9,776.4,780.7,4961900.0
2016-12-14,785.0,785.6,775.8,783.0,3994300.0
2016-12-13,778.0,787.7,773.3,785.0,5595900.0
2016-12-12,795.9,796.0,770.7,782.4,7208900.0
2016-12-09,782.7,787.1,775.7,783.4,11274900.0
2016-12-08,745.3,775.0,742.0,774.9,10532600.0
2016-12-07,740.0,744.9,735.3,737.9,6542600.0
2016-12-06,738.5,746.5,733.6,737.9,6697700.0
2016-12-05,728.0,734.0,721.0,731.0,5936900.0
2016-12-02,729.3,735.5,723.2,729.0,7085400.0
2016-12-01,730.0,747.3,727.3,735.6,8192400.0
2016-11-30,728.0,729.5,708.6,719.5,9317100.0
2016-11-29,720.2,727.2,718.0,727.0,5890900.0
2016-11-28,713.0,718.0,704.1,715.4,7581100.0
2016-11-25,722.4,724.7,707.1,717.7,7823900.0
2016-11-24,732.0,734.7,718.6,720.1,5450900.0
2016-11-22,715.4,725.3,715.0,724.0,4800100.0
